method,method_label,metric,rate,median,q10,q90
simclr_z,InfoNCE critic space z,coarse_retention,0.0,1.7215683724886103e-16,1.7215683724886103e-16,1.7215683724886103e-16
simclr_z,InfoNCE critic space z,coarse_retention,0.031502650826796146,0.0009380871110715618,0.0009240089359207445,0.0009472519355760847
simclr_z,InfoNCE critic space z,coarse_retention,0.06300530165359229,0.00223190699022736,0.00220007747803183,0.002249451894419753
simclr_z,InfoNCE critic space z,coarse_retention,0.09450795248038843,0.0037437822098103602,0.0036909522374815843,0.0037702039225833966
simclr_z,InfoNCE critic space z,coarse_retention,0.12601060330718458,0.005334878452175029,0.005267499603502843,0.005368451812522209
simclr_z,InfoNCE critic space z,coarse_retention,0.15751325413398073,0.0073728597257462745,0.0072835594433848065,0.0074146063883782564
simclr_z,InfoNCE critic space z,coarse_retention,0.18901590496077686,0.009410840999317518,0.009299619283266766,0.009460760964234302
simclr_z,InfoNCE critic space z,coarse_retention,0.220518555787573,0.011448822272888763,0.01131567912314873,0.01150691554009035
simclr_z,InfoNCE critic space z,coarse_retention,0.25202120661436916,0.013486803546460008,0.013331738963030691,0.0135530701159464
simclr_z,InfoNCE critic space z,coarse_retention,0.2835238574411653,0.015524784820031255,0.015347798802912654,0.015599224691802447
simclr_z,InfoNCE critic space z,coarse_retention,0.31502650826796147,0.0175627660936025,0.01736385864279462,0.017645379267658495
simclr_z,InfoNCE critic space z,coarse_retention,0.3465291590947576,0.02018819013190598,0.020004678167513525,0.020281128995067066
simclr_z,InfoNCE critic space z,coarse_retention,0.3780318099215537,0.022987877406741554,0.02278854849006326,0.023089320889388056
simclr_z,InfoNCE critic space z,coarse_retention,0.40953446074834987,0.025787564681577134,0.025572418812612994,0.025897512783709054
simclr_z,InfoNCE critic space z,coarse_retention,0.441037111575146,0.02858725195641271,0.02835628913516273,0.028705704678030047
simclr_z,InfoNCE critic space z,coarse_retention,0.4725397624019422,0.03138693923124829,0.031140159457712466,0.03151389657235104
simclr_z,InfoNCE critic space z,coarse_retention,0.5040424132287383,0.03418662650608387,0.0339240297802622,0.034322088466672035
simclr_z,InfoNCE critic space z,coarse_retention,0.5355450640555345,0.03698631378091945,0.03670790010281194,0.03713028036099303
simclr_z,InfoNCE critic space z,coarse_retention,0.5670477148823306,0.03978600105575503,0.03949177042536167,0.03993847225531403
simclr_z,InfoNCE critic space z,coarse_retention,0.5985503657091268,0.0425856883305906,0.04227564074791141,0.04274666414963502
simclr_z,InfoNCE critic space z,coarse_retention,0.6300530165359229,0.04538537560542618,0.04505951107046115,0.04555485604395602
simclr_z,InfoNCE critic space z,coarse_retention,0.6615556673627191,0.04818506288026175,0.04784338139301088,0.04836304793827702
simclr_z,InfoNCE critic space z,coarse_retention,0.6930583181895152,0.05098475015509733,0.050627251715560616,0.05117123983259801
simclr_z,InfoNCE critic space z,coarse_retention,0.7245609690163114,0.05378443742993291,0.053411122038110354,0.053979431726919005
simclr_z,InfoNCE critic space z,coarse_retention,0.7560636198431074,0.05658412470476848,0.05619499236066008,0.05678762362123999
simclr_z,InfoNCE critic space z,coarse_retention,0.7875662706699036,0.05938381197960406,0.058978862683209815,0.059595815515560986
simclr_z,InfoNCE critic space z,coarse_retention,0.8190689214966997,0.06218349925443964,0.06176273300575956,0.06240400740988199
simclr_z,InfoNCE critic space z,coarse_retention,0.8505715723234959,0.06498318652927522,0.06454660332830929,0.06521219930420297
simclr_z,InfoNCE critic space z,coarse_retention,0.882074223150292,0.0677828738041108,0.06733047365085902,0.06802039119852396
simclr_z,InfoNCE critic space z,coarse_retention,0.9135768739770882,0.07058256107894637,0.07011434397340877,0.07082858309284495
simclr_z,InfoNCE critic space z,coarse_retention,0.9450795248038844,0.07338224835378195,0.0728982142959585,0.07363677498716596
simclr_z,InfoNCE critic space z,coarse_retention,0.9765821756306805,0.07618193562861753,0.07568208461850823,0.07644496688148696
simclr_z,InfoNCE critic space z,coarse_retention,1.0080848264574767,0.0789816229034531,0.07852576686482295,0.07925315877580795
simclr_z,InfoNCE critic space z,coarse_retention,1.0395874772842728,0.08266186660938425,0.0822464941103273,0.08297254300485399
simclr_z,InfoNCE critic space z,coarse_retention,1.071090128111069,0.0863998986217653,0.08597877901712164,0.08671867118593292
simclr_z,InfoNCE critic space z,coarse_retention,1.1025927789378651,0.09013793063414632,0.08971106392391598,0.09046479936701184
simclr_z,InfoNCE critic space z,coarse_retention,1.1340954297646613,0.09387596264652737,0.09344334883071032,0.09421092754809077
simclr_z,InfoNCE critic space z,coarse_retention,1.1655980805914574,0.0976139946589084,0.09717563373750464,0.09795705572916968
simclr_z,InfoNCE critic space z,coarse_retention,1.1971007314182536,0.10135202667128942,0.10090791864429897,0.1017031839102486
simclr_z,InfoNCE critic space z,coarse_retention,1.2286033822450497,0.10509005868367047,0.10464020355109331,0.10544931209132753
simclr_z,InfoNCE critic space z,coarse_retention,1.2601060330718459,0.1088280906960515,0.10837248845788765,0.10919544027240645
simclr_z,InfoNCE critic space z,coarse_retention,1.291608683898642,0.11256612270843253,0.11210477336468197,0.11294156845348538
simclr_z,InfoNCE critic space z,coarse_retention,1.3231113347254382,0.11630415472081357,0.1158370582714763,0.11668769663456431
simclr_z,InfoNCE critic space z,coarse_retention,1.3546139855522343,0.1200421867331946,0.11956934317827064,0.12043382481564323
simclr_z,InfoNCE critic space z,coarse_retention,1.3861166363790305,0.12378021874557563,0.12330162808506497,0.12417995299672215
simclr_z,InfoNCE critic space z,coarse_retention,1.4176192872058266,0.12751825075795667,0.12703391299185932,0.12792608117780108
