variant,label,mode,K,requested_checkpoint,checkpoint_unit,effective_batch_size,channel_row_kl_median,channel_row_kl_q10,channel_row_kl_q90,channel_row_kl_last_median,channel_row_kl_last_q10,channel_row_kl_last_q90,critic_mse_mod_gauge_median,critic_mse_mod_gauge_q10,critic_mse_mod_gauge_q90,critic_mse_mod_gauge_last_median,critic_mse_mod_gauge_last_q10,critic_mse_mod_gauge_last_q90
baseline,"constant, B=512",matched,1,25600,positive_pairs,512,0.043982014936544016,0.0371154466761196,0.05166659125441947,0.043982014936544016,0.0371154466761196,0.05166659125441947,0.2619014459522747,0.175824239497621,0.32397956521974985,0.2619014459522747,0.175824239497621,0.32397956521974985
baseline,"constant, B=512",matched,1,51200,positive_pairs,512,0.018274900038013395,0.016877715173002277,0.020641906954904157,0.018274900038013395,0.016877715173002277,0.020641906954904157,0.13248409279666998,0.08103921177167062,0.16077572716992156,0.13248409279666998,0.08103921177167062,0.16077572716992156
baseline,"constant, B=512",matched,1,92160,positive_pairs,512,0.013194048481718861,0.012534103789703804,0.013897375545045536,0.013194048481718861,0.012534103789703804,0.013897375545045536,0.0729969595665217,0.04864004880896877,0.08653878366783745,0.0729969595665217,0.04864004880896877,0.08653878366783745
baseline,"constant, B=512",matched,1,153600,positive_pairs,512,0.012172601528342316,0.011082841632555901,0.013878865072784513,0.012172601528342316,0.011082841632555901,0.013878865072784513,0.046757530180366186,0.03723568484867851,0.05926627484111931,0.046757530180366186,0.03723568484867851,0.05926627484111931
baseline,"constant, B=512",matched,1,256000,positive_pairs,512,0.012162434573723391,0.011376655335304476,0.013066496837650475,0.012162434573723391,0.011376655335304476,0.013066496837650475,0.03811104286345553,0.03493265394124839,0.0461125481590557,0.03811104286345553,0.03493265394124839,0.0461125481590557
baseline,"constant, B=512",matched,1,384000,positive_pairs,512,0.012885319227742827,0.011428372002135175,0.0132564947986518,0.012885319227742827,0.011428372002135175,0.0132564947986518,0.03767748867085188,0.036595118350302894,0.04395591893349098,0.03767748867085188,0.036595118350302894,0.04395591893349098
baseline,"constant, B=512",matched,1,563200,positive_pairs,512,0.01245524681248281,0.010985487879822802,0.01368268480716245,0.01245524681248281,0.010985487879822802,0.01368268480716245,0.03699680816987551,0.03458779988310517,0.04148733148468948,0.03699680816987551,0.03458779988310517,0.04148733148468948
baseline,"constant, B=512",matched,1,742400,positive_pairs,512,0.012852316407581336,0.011946634979348334,0.014554114694832877,0.012852316407581336,0.011946634979348334,0.014554114694832877,0.03882607089139253,0.03464990343742612,0.04217919582419348,0.03882607089139253,0.03464990343742612,0.04217919582419348
baseline,"constant, B=512",matched,1,921600,positive_pairs,512,0.01277098998676426,0.011973786389110855,0.01398564588270306,0.01277098998676426,0.011973786389110855,0.01398564588270306,0.03805120065764749,0.03520495225816647,0.04135662931497116,0.03805120065764749,0.03520495225816647,0.04135662931497116
baseline,"constant, B=512",matched,4,25600,positive_pairs,512,0.026950507727922318,0.024166817751751262,0.03502800252011027,0.026950507727922318,0.024166817751751262,0.03502800252011027,0.1967192540396526,0.13436044575106454,0.2680179804594954,0.1967192540396526,0.13436044575106454,0.2680179804594954
