variant,label,mode,K,requested_checkpoint,checkpoint_unit,effective_batch_size,channel_row_kl_median,channel_row_kl_q10,channel_row_kl_q90,channel_row_kl_last_median,channel_row_kl_last_q10,channel_row_kl_last_q90,critic_mse_mod_gauge_median,critic_mse_mod_gauge_q10,critic_mse_mod_gauge_q90,critic_mse_mod_gauge_last_median,critic_mse_mod_gauge_last_q10,critic_mse_mod_gauge_last_q90
baseline,"constant, B=512",unmatched,32,300,steps,512,0.007960170156202883,0.00742760386220606,0.00898967330842469,0.007960170156202883,0.00742760386220606,0.00898967330842469,0.03309956748848973,0.02899022174743048,0.05006483210126289,0.03309956748848973,0.02899022174743048,0.05006483210126289
baseline,"constant, B=512",unmatched,32,500,steps,512,0.008045072232856157,0.007201706797175838,0.008921902553084338,0.008045072232856157,0.007201706797175838,0.008921902553084338,0.027604871982329113,0.02554961503466356,0.03715561643412119,0.027604871982329113,0.02554961503466356,0.03715561643412119
baseline,"constant, B=512",unmatched,32,750,steps,512,0.008189473258165967,0.007226870478404633,0.009013283882574996,0.008189473258165967,0.007226870478404633,0.009013283882574996,0.02818081051574025,0.025563474024892417,0.031021910257804264,0.02818081051574025,0.025563474024892417,0.031021910257804264
baseline,"constant, B=512",unmatched,32,1100,steps,512,0.008041297518952339,0.007230247342060948,0.008460569394488035,0.008041297518952339,0.007230247342060948,0.008460569394488035,0.026478985552454433,0.023119400041245665,0.03000446306507966,0.026478985552454433,0.023119400041245665,0.03000446306507966
baseline,"constant, B=512",unmatched,32,1450,steps,512,0.008199128716800303,0.007496392899575807,0.008904447629957308,0.008199128716800303,0.007496392899575807,0.008904447629957308,0.027013087392412538,0.02604576055488211,0.030369864965898573,0.027013087392412538,0.02604576055488211,0.030369864965898573
baseline,"constant, B=512",unmatched,32,1800,steps,512,0.008172522010766754,0.007705913127752271,0.008983068498653853,0.008172522010766754,0.007705913127752271,0.008983068498653853,0.026013262451615095,0.024497877440530284,0.030920577045442297,0.026013262451615095,0.024497877440530284,0.030920577045442297
cosine,cosine decay,matched,1,50,steps,512,0.0440170560462213,0.03714265695417849,0.051721308347840125,0.0440170560462213,0.03714265695417849,0.051721308347840125,0.2620455270382712,0.175940351354273,0.32418118613880076,0.2620455270382712,0.175940351354273,0.32418118613880076
cosine,cosine decay,matched,1,100,steps,512,0.0182716427824114,0.016855332466686416,0.02063181823858328,0.0182716427824114,0.016855332466686416,0.02063181823858328,0.13272725116296477,0.08115586389427983,0.161101723979591,0.13272725116296477,0.08115586389427983,0.161101723979591
cosine,cosine decay,matched,1,180,steps,512,0.012986107700167216,0.01234683270479739,0.013735048391237854,0.012986107700167216,0.01234683270479739,0.013735048391237854,0.07303339430521827,0.04838480007926515,0.08659225457537204,0.07303339430521827,0.04838480007926515,0.08659225457537204
cosine,cosine decay,matched,1,300,steps,512,0.01154873315411638,0.010517388848337007,0.013161562666666625,0.01154873315411638,0.010517388848337007,0.013161562666666625,0.04587597443008792,0.035738525052381905,0.0581726211383259,0.04587597443008792,0.035738525052381905,0.0581726211383259
